Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Toulouse,fr Ligue 1,29,25.1,51.3,38,418,3420,38.0,50,33,83,46,4,4,62,3,52.5,49.4,35.8,85.2,648,1737,1.32,0.87,2.18,1.21,2.08,1.38,0.94,616.6315789473684,22692
Troyes,fr Ligue 1,32,25.8,42.6,38,418,3420,38.0,43,26,69,38,5,5,55,5,39.1,35.6,27.9,63.5,638,1235,1.13,0.68,1.82,1.0,1.68,1.03,0.73,536.3157894736842,26047
Udinese,it Serie A,30,26.1,48.0,38,418,3420,38.0,46,41,87,45,1,2,88,3,46.9,45.4,37.8,83.2,646,1354,1.21,1.08,2.29,1.18,2.26,1.24,0.99,557.4473684210526,22575
Union Berlin,de Bundesliga,28,27.9,43.8,34,374,3060,34.0,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,1.44,1.12,2.56,1.35,2.47,1.12,0.76,528.0,22481
Valencia,es La Liga,28,24.2,52.0,38,418,3420,38.0,40,23,63,35,5,8,92,8,49.3,43.0,32.5,75.5,786,1472,1.05,0.61,1.66,0.92,1.53,1.3,0.86,568.9736842105264,20601
Valladolid,es La Liga,36,27.4,48.7,38,418,3420,38.0,32,24,56,29,3,4,94,6,38.6,35.5,28.4,63.9,610,1244,0.84,0.63,1.47,0.76,1.39,1.02,0.75,546.0,21570
Villarreal,es La Liga,32,28.4,56.9,38,418,3420,38.0,57,33,90,53,4,7,91,4,61.7,56.1,43.1,99.3,846,1622,1.5,0.87,2.37,1.39,2.26,1.62,1.13,626.7105263157895,19274
Werder Bremen,de Bundesliga,25,27.4,49.3,34,374,3060,34.0,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,1.47,1.09,2.56,1.32,2.41,1.21,0.85,601.9117647058823,20908
West Ham,eng Premier League,25,28.2,42.1,38,418,3420,38.0,41,25,66,35,6,8,44,0,49.2,43.7,32.7,76.4,614,1274,1.08,0.66,1.74,0.92,1.58,1.29,0.86,537.1315789473684,27044
Wolfsburg,de Bundesliga,28,23.7,50.6,34,374,3060,34.0,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,1.62,1.29,2.91,1.5,2.79,1.51,1.15,589.7941176470588,19549
Wolves,eng Premier League,32,26.7,49.9,38,418,3420,38.0,28,12,40,25,3,3,85,6,36.8,34.5,25.4,59.9,610,1343,0.74,0.32,1.05,0.66,0.97,0.97,0.67,593.1315789473684,22413
